Airline,Month,Passengers_In,Passengers_Out
Korean Air,Jan,19782.0,15510.0
Korean Air,Jul,12117.0,9860.0
Korean Air,Jun,11050.0,11534.0
Korean Air,Mar,12798.0,15575.0
Korean Air,May,10774.0,11199.0
Korean Air,Nov,15114.0,14018.0
Korean Air,Oct,13023.0,11292.0
Korean Air,Sep,10626.0,10819.0
LATAM Airlines,Apr,9733.0,9384.0
LATAM Airlines,Aug,9569.0,9251.0
LATAM Airlines,Dec,8214.0,8214.0
LATAM Airlines,Feb,9915.0,9504.0
LATAM Airlines,Jan,10973.0,10164.0
LATAM Airlines,Jul,10609.0,9908.0
LATAM Airlines,Jun,8126.0,8632.0
LATAM Airlines,Mar,10294.0,11213.0
LATAM Airlines,May,8948.0,8352.0
LATAM Airlines,Nov,8665.0,8360.0
LATAM Airlines,Oct,7845.0,7436.0
LATAM Airlines,Sep,8633.0,8782.0
Malaysia Airlines,Apr,45820.0,45312.0
Malaysia Airlines,Aug,54222.0,48991.0
Malaysia Airlines,Dec,45079.0,60666.0
Malaysia Airlines,Feb,45358.0,35630.0
Malaysia Airlines,Jan,52255.0,44582.0
Malaysia Airlines,Jul,59214.0,46996.0
Malaysia Airlines,Jun,39370.0,49268.0
Malaysia Airlines,Mar,42014.0,34760.0
Malaysia Airlines,May,45669.0,38056.0
Malaysia Airlines,Nov,47545.0,47438.0
Malaysia Airlines,Oct,53012.0,44081.0
Malaysia Airlines,Sep,48006.0,48091.0
Malindo Air,Apr,13993.0,15385.0
Malindo Air,Aug,19841.0,18993.0
Malindo Air,Dec,13943.0,21755.0
Malindo Air,Feb,13009.0,8087.0
Malindo Air,Jan,17870.0,11988.0
Malindo Air,Jul,18539.0,17202.0
Malindo Air,Jun,13708.0,16574.0
Malindo Air,Mar,10620.0,10689.0
Malindo Air,May,14567.0,13189.0
Malindo Air,Nov,18186.0,17751.0
Malindo Air,Oct,22338.0,19192.0
Malindo Air,Sep,20075.0,20436.0
Nauru Airlines,Apr,715.0,799.0
Nauru Airlines,Aug,729.0,730.0
Nauru Airlines,Dec,634.0,617.0
Nauru Airlines,Feb,812.0,461.0
Nauru Airlines,Jan,664.0,771.0
Nauru Airlines,Jul,914.0,630.0
Nauru Airlines,Jun,706.0,847.0
Nauru Airlines,Mar,832.0,663.0
Nauru Airlines,May,764.0,552.0
Nauru Airlines,Nov,557.0,610.0
Nauru Airlines,Oct,776.0,779.0
Nauru Airlines,Sep,905.0,740.0
Pacific Air Express,Apr,0.0,0.0
Pacific Air Express,Aug,0.0,0.0
Pacific Air Express,Dec,0.0,0.0
Pacific Air Express,Feb,0.0,0.0
Pacific Air Express,Jan,0.0,0.0
Pacific Air Express,Jul,0.0,0.0
Pacific Air Express,Jun,0.0,0.0
Pacific Air Express,Mar,0.0,0.0
Pacific Air Express,May,0.0,0.0
Pacific Air Express,Nov,0.0,0.0
Pacific Air Express,Oct,0.0,0.0
Pacific Air Express,Sep,0.0,0.0
Philippine Airlines,Apr,14960.0,16059.0
Philippine Airlines,Aug,14040.0,12683.0
Philippine Airlines,Dec,12217.0,20595.0
Philippine Airlines,Feb,12429.0,9939.0
Philippine Airlines,Jan,17290.0,16883.0
Philippine Airlines,Jul,15168.0,12367.0
Philippine Airlines,Jun,11523.0,12768.0
Philippine Airlines,Mar,11904.0,10922.0
Philippine Airlines,May,14407.0,11761.0
Philippine Airlines,Nov,13379.0,15107.0
Philippine Airlines,Oct,15512.0,13525.0
Philippine Airlines,Sep,12102.0,14166.0
Polar Air Cargo,Apr,0.0,0.0
Polar Air Cargo,Aug,0.0,0.0
Polar Air Cargo,Dec,0.0,0.0
Polar Air Cargo,Feb,0.0,0.0
Polar Air Cargo,Jan,0.0,0.0
Polar Air Cargo,Jul,0.0,0.0
Polar Air Cargo,Jun,0.0,0.0
Polar Air Cargo,Mar,0.0,0.0
Polar Air Cargo,May,0.0,0.0
Polar Air Cargo,Nov,0.0,0.0
Polar Air Cargo,Oct,0.0,0.0
Polar Air Cargo,Sep,0.0,0.0
Qantas Airways,Apr,306564.0,319292.0
Qantas Airways,Aug,305397.0,310526.0
Qantas Airways,Dec,318509.0,358093.0
Qantas Airways,Feb,289261.0,260729.0
Qantas Airways,Jan,361673.0,328363.0
Qantas Airways,Jul,339264.0,308595.0
Qantas Airways,Jun,281172.0,302677.0
Qantas Airways,Mar,300687.0,298800.0
Qantas Airways,May,296092.0,294663.0
Qantas Airways,Nov,303377.0,298822.0
Qantas Airways,Oct,322813.0,299862.0
Qantas Airways,Sep,290880.0,306017.0
Qatar Airways,Apr,44220.0,61871.0
Qatar Airways,Aug,58704.0,64663.0
Qatar Airways,Dec,53521.0,59850.0
Qatar Airways,Feb,45766.0,39166.0
Qatar Airways,Jan,63705.0,52813.0
Qatar Airways,Jul,65387.0,57800.0
Qatar Airways,Jun,45850.0,63993.0
Qatar Airways,Mar,31556.0,54388.0
Qatar Airways,May,40025.0,64307.0
Qatar Airways,Nov,46588.0,46247.0
Qatar Airways,Oct,58766.0,40604.0
Qatar Airways,Sep,57628.0,57742.0
Royal Brunei Airlines,Apr,4823.0,5750.0
Royal Brunei Airlines,Aug,6667.0,7663.0
Royal Brunei Airlines,Dec,6494.0,8725.0
Royal Brunei Airlines,Feb,5588.0,4645.0
Royal Brunei Airlines,Jan,6696.0,6373.0
Royal Brunei Airlines,Jul,7669.0,6250.0
Royal Brunei Airlines,Jun,3503.0,6871.0
Royal Brunei Airlines,Mar,3433.0,4515.0
Royal Brunei Airlines,May,3587.0,4583.0
Royal Brunei Airlines,Nov,4718.0,5418.0
Royal Brunei Airlines,Oct,7833.0,5678.0
Royal Brunei Airlines,Sep,6569.0,7020.0
Samoa Airways,Apr,1173.0,1170.0
Samoa Airways,Aug,1806.0,1742.0
Samoa Airways,Dec,1831.0,2231.0
Samoa Airways,Feb,1098.0,776.0
